Paraphrases,Entity_Change,LABEL
"United States President Barack Obama has maintained that the countries will not send troops to Ukraine, despite their diplomatic stance.","United States President Bill Clinton has maintained that the countries will not send troops to Ukraine, despite their diplomatic stance.",support
"Even though the U.S. president Barack Obama has maintained a diplomatic position, United States troops will not be sent to Ukraine.","Even though the U.S. president George Bush has maintained a diplomatic position, United States troops will not be sent to Ukraine.",support
"Even though the U.S. president Barack Obama has maintained a diplomatic position, United States troops will not be sent to Ukraine.","Even though the U.S. president Joe Biden has maintained a diplomatic position, United States troops will not be sent to Ukraine.",support
"Even though the U.S. president Barack Obama has maintained a diplomatic position, United States troops will not be sent to Ukraine.","Even though the U.S. president Bill Clinton has maintained a diplomatic position, United States troops will not be sent to Ukraine.",support
"Although he has maintained his diplomatic stance, U.S. President Barack Obama said United States troops would not be sent to the Ukraine.","Although he has maintained his diplomatic stance, U.S. President George Bush said United States troops would not be sent to the Ukraine.",support
"Although he has maintained his diplomatic stance, U.S. President Barack Obama said United States troops would not be sent to the Ukraine.","Although he has maintained his diplomatic stance, U.S. President Joe Biden said United States troops would not be sent to the Ukraine.",support
"Although he has maintained his diplomatic stance, U.S. President Barack Obama said United States troops would not be sent to the Ukraine.","Although he has maintained his diplomatic stance, U.S. President Bill Clinton said United States troops would not be sent to the Ukraine.",support
"Barack Obama, the U.S: president has upheld his stance on diplomatic issues but insisted that the United States would not send troops to Ukraine.","George Bush, the U.S: president has upheld his stance on diplomatic issues but insisted that the United States would not send troops to Ukraine.",support
"Barack Obama, the U.S: president has upheld his stance on diplomatic issues but insisted that the United States would not send troops to Ukraine.","Joe Biden, the U.S: president has upheld his stance on diplomatic issues but insisted that the United States would not send troops to Ukraine.",support
"Barack Obama, the U.S: president has upheld his stance on diplomatic issues but insisted that the United States would not send troops to Ukraine.","Bill Clinton, the U.S: president has upheld his stance on diplomatic issues but insisted that the United States would not send troops to Ukraine.",support
"The United States president, Barack Obama (pictured with his wife) has maintained a diplomatic position but has confirmed that the U.S will not send troops to Ukraine.","The United States president, George Bush (pictured with his wife) has maintained a diplomatic position but has confirmed that the U.S will not send troops to Ukraine.",support
"The United States president, Barack Obama (pictured with his wife) has maintained a diplomatic position but has confirmed that the U.S will not send troops to Ukraine.","The United States president, Joe Biden (pictured with his wife) has maintained a diplomatic position but has confirmed that the U.S will not send troops to Ukraine.",support
"The United States president, Barack Obama (pictured with his wife) has maintained a diplomatic position but has confirmed that the U.S will not send troops to Ukraine.","The United States president, Bill Clinton (pictured with his wife) has maintained a diplomatic position but has confirmed that the U.S will not send troops to Ukraine.",support
"While maintaining a diplomatic posture, U.S."" President Barack Obama made it clear on Friday that the United States would not send troops to Ukraine.","While maintaining a diplomatic posture, U.S."" President George Bush made it clear on Friday that the United States would not send troops to Ukraine.",support
"While maintaining a diplomatic posture, U.S."" President Barack Obama made it clear on Friday that the United States would not send troops to Ukraine.","While maintaining a diplomatic posture, U.S."" President Joe Biden made it clear on Friday that the United States would not send troops to Ukraine.",support
"While maintaining a diplomatic posture, U.S."" President Barack Obama made it clear on Friday that the United States would not send troops to Ukraine.","While maintaining a diplomatic posture, U.S."" President Bill Clinton made it clear on Friday that the United States would not send troops to Ukraine.",support
"U.S. President Barack Obama has maintained a diplomatic position but has stated that the United States won't deploy troops into Ukraine, unlike other countries doing so.","U.S. President George Bush has maintained a diplomatic position but has stated that the United States won't deploy troops into Ukraine, unlike other countries doing so.",support
"U.S. President Barack Obama has maintained a diplomatic position but has stated that the United States won't deploy troops into Ukraine, unlike other countries doing so.","U.S. President Joe Biden has maintained a diplomatic position but has stated that the United States won't deploy troops into Ukraine, unlike other countries doing so.",support
"U.S. President Barack Obama has maintained a diplomatic position but has stated that the United States won't deploy troops into Ukraine, unlike other countries doing so.","U.S. President Bill Clinton has maintained a diplomatic position but has stated that the United States won't deploy troops into Ukraine, unlike other countries doing so.",support
"President Barack Obama, despite maintaining diplomatic relations with the U.S., announced that troops from both countries would not be sent to Ukraine due zur Verfügung stehen.","President George Bush, despite maintaining diplomatic relations with the U.S., announced that troops from both countries would not be sent to Ukraine due zur Verfügung stehen.",refute
"President Barack Obama, despite maintaining diplomatic relations with the U.S., announced that troops from both countries would not be sent to Ukraine due zur Verfügung stehen.","President Joe Biden, despite maintaining diplomatic relations with the U.S., announced that troops from both countries would not be sent to Ukraine due zur Verfügung stehen.",support
"President Barack Obama, despite maintaining diplomatic relations with the U.S., announced that troops from both countries would not be sent to Ukraine due zur Verfügung stehen.","President Bill Clinton, despite maintaining diplomatic relations with the U.S., announced that troops from both countries would not be sent to Ukraine due zur Verfügung stehen.",support
